#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
43.771	431	43.796	544
43.822	401	43.846	582
43.872	370	43.898	617
43.923	330	43.948	658
43.973	298	43.999	696
44.025	270	44.049	719
44.075	248	44.100	738
44.126	236	44.151	752
44.176	222	44.202	762
44.227	226	44.252	767
44.278	236	44.303	752
44.329	249	44.353	730
44.379	276	44.405	707
44.430	317	44.455	672
44.480	344	44.506	641
44.532	376	44.556	599
44.582	407	44.607	567
44.633	451	44.657	530
44.683	477	44.709	494
44.734	500	44.760	470
44.784	519	44.810	450
44.836	530	44.861	439
44.886	536	44.911	438
44.937	535	44.963	444
44.987	522	45.013	459
45.038	502	45.064	481
45.089	475	45.114	510
45.140	442	45.165	545
45.190	402	45.216	580
45.241	368	45.267	616
45.291	341	45.317	649
45.343	298	45.368	683
45.393	274	45.418	719
45.444	245	45.470	735
45.494	235	45.520	748
45.545	226	45.571	762
45.595	227	45.621	756
45.647	234	45.672	753
45.697	252	45.722	734
45.748	276	45.774	713
45.798	308	45.824	682
45.849	338	45.875	638
45.900	371	45.925	612
45.951	409	45.976	575
46.001	440	46.027	538
46.052	477	46.078	504
46.102	504	46.128	480
46.154	526	46.179	463
46.204	531	46.229	446
46.255	544	46.281	433
46.305	529	46.331	451
46.356	527	46.382	460
46.406	502	46.432	478
46.458	476	46.483	500
46.508	439	46.533	542
46.559	412	46.585	577
46.609	382	46.635	604
46.660	346	46.686	649
46.711	303	46.736	683
46.762	273	46.787	708
46.812	250	46.838	728
46.863	240	46.889	751
46.913	232	46.939	753
46.965	223	46.990	750
47.015	233	47.040	741
47.066	248	47.092	728
47.116	275	47.142	711
47.167	300	47.193	681
47.217	325	47.243	645
47.269	367	47.294	616
47.319	405	47.344	569
47.370	434	47.396	539
47.420	475	47.446	512
47.471	501	47.497	482
47.522	514	47.547	470
47.573	531	47.598	461
47.623	535	47.649	445
47.674	530	47.700	448
47.724	526	47.750	465
47.776	499	47.801	484
47.826	474	47.851	502
47.877	449	47.903	532
47.927	410	47.953	568
47.978	372	48.004	607
48.028	344	48.054	635
48.080	304	48.105	679
48.130	282	48.155	697
48.181	254	48.207	726
48.231	239	48.257	739
48.282	234	48.308	751
48.333	226	48.358	745
48.384	234	48.409	743
48.435	255	48.460	719
48.485	269	48.511	709
48.536	295	48.561	679
48.587	331	48.612	650
48.638	359	48.662	613
48.688	403	48.714	573
48.739	438	48.764	546
48.789	470	48.815	514
48.841	488	48.865	490
48.891	519	48.916	472
48.942	525	48.966	455
48.992	530	49.018	451
49.043	528	49.068	449
49.093	528	49.119	462
49.145	503	49.169	474
49.195	477	49.220	501
49.246	455	49.271	532
49.296	422	49.322	572
49.347	382	49.372	599
49.398	352	49.423	638
49.449	314	49.473	670
49.499	287	49.525	701
49.550	266	49.575	721
49.600	245	49.626	733
49.652	239	49.676	743
49.702	235	49.727	740
49.753	236	49.777	746
49.803	255	49.829	725
49.854	267	49.879	704
49.904	302	49.930	684
49.956	332	49.980	651
50.006	356	50.031	618
50.057	395	50.082	575
50.107	435	50.133	541
50.158	460	50.183	511
50.209	490	50.234	493
50.260	520	50.284	475
50.310	528	50.336	463
50.361	532	50.386	450
50.411	527	50.437	452
50.463	526	50.487	467
50.513	511	50.538	477
50.564	479	50.588	506
50.614	457	50.640	527
50.665	423	50.690	572
50.715	393	50.741	600
50.767	355	50.791	630
50.817	323	50.842	667
50.868	295	50.893	693
50.918	266	50.944	721
50.969	258	50.994	731
51.020	232	51.045	737
51.071	234	51.095	745
51.121	242	51.147	735
51.172	250	51.197	724
51.222	266	51.248	706
51.274	297	51.298	677
51.324	320	51.349	644
51.375	361	51.399	610
51.425	389	51.451	588
51.476	427	51.502	547
51.526	462	51.552	521
51.578	487	51.603	494
51.628	507	51.653	474
51.679	522	51.705	466
51.729	535	51.755	455
51.780	532	51.806	459
51.831	521	51.856	467
51.882	512	51.907	488
51.932	488	51.958	508
51.983	457	52.009	535
52.033	432	52.059	571
52.085	390	52.110	599
52.135	359	52.160	626
52.186	331	52.212	656
52.236	296	52.262	689
52.287	272	52.313	713
52.337	247	52.363	731
52.389	241	52.414	741
52.439	243	52.464	737
52.490	242	52.516	736
52.540	246	52.566	720
52.591	270	52.617	695
52.642	287	52.667	681
52.693	317	52.718	640
52.743	357	52.769	620
52.794	383	52.820	575
52.844	426	52.870	548
52.896	454	52.921	516
52.946	480	52.971	497
52.997	504	53.023	481
53.047	525	53.073	470
53.098	526	53.124	463
53.148	535	53.174	460
53.200	525	53.225	473
53.250	510	53.275	481
53.301	492	53.327	509
53.351	459	53.377	529
53.402	435	53.428	571
53.453	393	53.478	596
53.504	366	53.529	638
53.554	329	53.580	657
53.605	305	53.631	682
53.655	276	53.681	704
53.707	262	53.732	723
53.757	241	53.782	736
53.808	239	53.834	741
53.858	240	53.884	726
53.909	253	53.935	718
53.959	267	53.985	699
54.011	291	54.036	676
54.061	321	54.086	656
54.112	352	54.138	621
54.162	388	54.188	586
54.213	417	54.239	548
54.264	444	54.289	522
54.315	471	54.340	495
54.365	503	54.391	485
54.416	516	54.442	465
54.466	523	54.492	457
54.518	522	54.543	458
54.568	522	54.593	468
54.619	516	54.645	482
54.669	488	54.695	511
54.720	458	54.746	533
54.771	441	54.796	563
54.822	406	54.847	596
54.872	368	54.897	631
54.923	341	54.949	653
54.973	310	54.999	675
55.024	281	55.050	699
55.075	260	55.100	724
55.126	249	55.151	729
55.176	243	55.202	734
55.227	241	55.253	731
55.277	252	55.303	720
55.329	263	55.354	694
55.379	289	55.404	680
55.430	310	55.456	643
55.480	342	55.506	620
55.531	377	55.557	589
55.582	412	55.607	551
55.633	447	55.658	527
55.683	472	55.708	499
55.734	495	55.760	489
55.784	508	55.810	472
