#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
32.620	497	32.645	395
32.670	484	32.696	364
32.721	469	32.746	340
32.772	449	32.797	323
32.823	427	32.847	312
32.873	404	32.899	310
32.924	381	32.949	315
32.974	358	33.000	331
33.026	339	33.050	350
33.076	322	33.101	378
33.127	310	33.152	408
33.177	302	33.203	443
33.228	300	33.253	476
33.278	302	33.304	511
33.330	311	33.354	542
33.380	325	33.405	571
33.431	343	33.456	591
33.481	364	33.507	607
33.532	387	33.557	614
33.583	413	33.608	615
33.634	437	33.658	607
33.684	460	33.710	593
33.735	479	33.760	573
33.785	496	33.811	545
33.837	508	33.861	516
33.887	515	33.912	482
33.938	515	33.963	449
33.988	510	34.014	416
34.039	500	34.064	387
34.090	485	34.115	361
34.141	464	34.165	343
34.191	442	34.216	329
34.242	418	34.267	324
34.292	391	34.318	325
34.343	367	34.368	335
34.394	342	34.419	351
34.445	323	34.469	372
34.495	307	34.521	398
34.546	296	34.571	428
34.596	290	34.622	460
34.648	291	34.672	491
34.698	297	34.723	522
34.749	310	34.774	548
34.799	327	34.825	570
34.850	348	34.876	586
34.901	372	34.926	599
34.952	399	34.977	602
35.002	426	35.027	599
35.053	451	35.079	589
35.103	475	35.129	573
35.154	495	35.180	553
35.205	510	35.230	526
35.256	520	35.281	499
35.306	525	35.332	467
35.357	523	35.383	438
35.407	515	35.433	407
35.459	502	35.484	385
35.509	482	35.534	363
35.560	459	35.586	349
35.610	433	35.636	339
35.661	405	35.687	338
35.712	377	35.737	343
35.763	352	35.788	354
35.813	326	35.838	370
35.864	308	35.890	392
35.914	293	35.940	419
35.965	283	35.991	446
36.016	281	36.041	474
36.067	285	36.092	502
36.117	295	36.143	529
36.168	310	36.194	549
36.218	332	36.244	568
36.270	357	36.295	580
36.320	383	36.345	587
36.371	412	36.397	587
36.421	441	36.447	582
36.472	468	36.498	571
36.523	492	36.548	553
36.574	510	36.599	532
36.624	525	36.650	507
36.675	531	36.701	482
36.725	533	36.751	454
36.776	527	36.802	429
36.827	516	36.852	405
36.878	499	36.903	385
36.928	476	36.954	368
36.979	449	37.005	358
37.029	421	37.055	351
37.081	391	37.106	355
37.131	362	37.156	360
37.182	335	37.208	373
37.232	311	37.258	390
37.283	294	37.309	411
37.334	281	37.359	436
37.385	275	37.410	459
37.435	274	37.461	486
37.486	283	37.512	508
37.536	295	37.562	531
37.587	315	37.613	547
37.638	339	37.663	562
37.689	367	37.714	569
37.739	398	37.765	574
37.790	428	37.816	570
37.840	457	37.866	563
37.892	482	37.917	551
37.942	507	37.967	534
37.993	523	38.019	514
38.043	535	38.069	492
38.094	540	38.120	469
38.145	538	38.170	445
38.196	529	38.221	424
38.246	514	38.272	404
38.297	493	38.323	390
38.347	467	38.373	375
38.398	437	38.424	370
38.449	406	38.474	367
38.500	375	38.525	372
38.550	346	38.576	380
38.601	320	38.627	393
38.651	298	38.677	409
38.703	281	38.728	429
38.753	271	38.778	449
38.804	268	38.830	471
38.854	271	38.880	494
38.905	283	38.931	510
38.956	301	38.981	530
39.007	322	39.032	542
